well_id,interval_name,top_md_m,bottom_md_m,purpose,source_file,source_location,data_type,confidence,notes
ht1_001,K1s_水层1,6060.0,6064.0,水层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值2.76%
ht1_001,K1s_水层2,6092.0,6098.0,水层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值1.57%
ht1_001,K1q_干层,7355.0,7409.0,干层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值3.87%
ht1_001,K1q_差气层1,7409.0,7423.0,差气层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值3.92%
ht1_001,K1q_差气层2,7460.0,7462.0,差气层(录井解释)-高峰显示,施工设计/section 2.3,录井解释结论,high,全烃最大值44.07%高峰
ht1_001,K1q_油气同层,7504.0,7566.0,油气同层(录井解释),施工设计/section 2.3,录井解释结论,high,全烃最大值6.21%
ht1_001,J3k3_差气层3,7624.0,7632.0,差气层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值2.99%
ht1_001,J3k3_气层,7642.0,7661.0,气层(录井解释),施工设计/section 2.3,录井解释结论,high,全烃最大值4.83%
ht1_001,J3k3_差气层4,7661.0,7685.0,差气层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值3.45%
ht1_001,J3k2_干层,7734.0,7746.0,干层(录井解释),施工设计/section 2.3,录井解释结论,medium,全烃最大值1.89%
ht1_001,K1q_J3k_主要目的层段,6828.0,7746.0,清水河组+喀拉扎组;主要目的层,施工设计/section 1.1,地质设计,high,目的层:白垩系清水河组(K1q)+侏罗系喀拉扎组(J3k2)
ht1_001,裸眼模拟段,5670.0,7746.0,尾管固井模拟段裸眼部分,施工设计/section 4.2,井身结构定义,high,裸眼段5670-7746m
ht1_001,重叠段,5460.159,5670.0,尾管与技术套管重叠段,施工设计/section 4.2,设计,high,重叠段长度209.841m
ht1_001,领浆封固段,5185.7,5900.0,领浆封固段(含超返),施工设计/section 4.2/7.1.1,设计,high,超返274.5m至5185.7m
ht1_001,中间浆封固段,5900.0,7000.0,中间浆封固段,施工设计/section 4.2,设计,high,裸眼段占高1100m
ht1_001,尾浆封固段,7000.0,7746.0,尾浆封固段,施工设计/section 4.2,设计,high,裸眼段占高746m
